,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,,,,,,
121,Joel Campbell ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
122,Emre Can ,Midfielder,26,,,67,81%,,5,28,32,20,,196,163,123,24,46,49,,0,4,"1,543",59.35,5,11,45%,11,76,8,0,27,0,3,2,1,0,1,0.12,,,,,
123,Etienne Capoue ,Midfielder,23,,,43,60%,,12,43,35,22,,119,114,99,13,42,23,,0,0,875,38.04,0,4,25%,5,62,3,0,21,1,1,0,1,0,1,0.04,,,,,
124,Baily Cargill ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
125,Michael Carrick ,Midfielder,2,,,1,100%,,1,1,3,0,,17,4,6,2,0,2,,0,0,99,49.5,0,0,0%,1,12,0,0,1,0,0,0,0,0,0,0,,,,,
126,Guido Carrillo ,Forward,7,,,5,,,4,0,5,5,,,,,,,,,,1,123,17.57,0,0,,,,0,0,7,1,0,0,0,0,0,0,,,,,
127,Tom Carroll ,Midfielder,37,,,53,62%,,9,29,15,5,,139,94,108,14,11,21,,1,4,"1,444",39.03,6,129,32%,3,80,3,0,23,1,0,0,0,0,2,0,,,,,
128,Cameron Carter-Vickers ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
129,Craig Cathcart ,Defender,7,1,6,8,63%,0,0,3,38,18,0,32,20,10,1,10,6,0,0,0,185,26.43,0,0,0%,0,24,1,0,2,0,0,0,0,0,0,,,,,,
130,Petr Cech ,Goalkeeper,34,11,48,,,,,,,,,,,,,,,0,6,0,811,23.85,,,,,184,1,0,0,,0,,,,,,,,,,
131,Cédric Soares ,Defender,32,7,44,54,63%,0,4,24,82,38,0,155,110,115,7,33,62,0,2,3,"1,275",39.84,6,137,20%,2,77,3,0,16,3,0,0,0,0,0,,,,,,
132,Nacer Chadli ,Midfielder,5,,,1,0%,,1,0,3,1,,15,3,10,1,1,2,,0,0,69,13.8,0,7,0%,0,1,1,0,1,0,1,0,1,0,0,0.2,,,,,
133,Nathaniel Chalobah ,Midfielder,6,,,9,67%,,2,6,6,6,,36,33,20,7,11,5,,0,0,182,30.33,0,2,0%,1,9,1,0,3,1,0,0,0,0,0,0,,,,,
134,Calum Chambers ,Defender,12,1,14,17,59%,0,3,18,44,22,0,71,57,56,7,28,30,0,0,0,600,50,0,7,14%,0,31,1,0,10,0,0,0,0,0,0,,,,,,
135,Harry Charsley ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
136,Chicharito ,Forward,28,,,11,,,1,6,1,0,,,,,,,,,,0,373,13.32,1,18,,,,3,0,15,14,8,2,5,1,2,0.29,,,,,
137,Ben Chilwell ,Defender,24,4,30,36,72%,0,2,28,62,33,0,129,156,129,31,67,61,0,1,2,901,37.54,4,84,20%,0,27,1,1,13,4,0,0,0,0,0,,,,,,
138,Pedro Chirivella ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
